STT	BaiToan	Code_C	"?? BÀI T?P 1
Vi?t ch??ng trình tính th? tích hình chóp c?t ??u có di?n tích ?áy l?n S, di?n tích ?áy nh? s và chi?u cao h. Th? tích hình chóp c?t ??u ???c xác ??nh b?i công th?c:
V=13?h?(S+Ss+s)V = \frac{1}{3} * h * (S + \sqrt{Ss} + s)V=31?h?(S+Ss+s) 
(di?n gi?i công th?c: m?t ph?n ba * chi?u cao h * t?ng di?n tích ?áy l?n, di?n tích ?áy nh? và c?n b?c hai tích di?n tích ?áy l?n và ?áy nh?)
________________________________________
Mô t? d? li?u testcase:
•	Input: G?m T+1 dòng; dòng ??u tiên là s? l??ng testcase T; T dòng ti?p theo, m?i dòng g?m giá tr? th?c S, s và h t??ng ?ng d? li?u c?a m?t testcase.
•	Output: K?t qu? c?a m?i testcase trên m?t hàng, in 02 ch? s? sau d?u ph?y. N?u không tính ???c thì in ra ND.
Minh h?a d? li?u testcase:
Input:
1
2.0 2.0 1.5
Output:
3.00
? Code C:
#include <stdio.h>
#include <math.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        double S, s, h;
        if (scanf(""%lf %lf %lf"", &S, &s, &h) != 3 || S < 0 || s < 0 || h < 0) {
            printf(""ND\n"");
            continue;
        }
        double V = (1.0 / 3.0) * h * (S + sqrt(S * s) + s);
        printf(""%.2lf\n"", V);
  }
    return 0;
}
________________________________________
?? BÀI T?P 2
Cho m?t ma tr?n các s? nguyên A kích th??c m×n. Ng??i ta th?c hi?n duy?t các hàng và c?t ngoài cùng t? m?t v? trí cho tr??c theo m?t chi?u nh?t ??nh. D?c theo ???ng duy?t, li?t kê t?t c? các s? nguyên t? theo th? t? duy?t.
V? trí ban ??u t?i góc trên bên ph?i (hàng 0, c?t n?1) và duy?t theo chi?u ng??c chi?u kim ??ng h?.
Mô t? d? li?u testcase:
•	Input: Dòng ??u tiên là s? l??ng b? testcase T; T*(m+1) dòng ti?p theo là d? li?u các b? testcase; m?i b? testcase g?m m+1 hàng, trong ?ó hàng ??u tiên là giá tr? m và n, m hàng ti?p theo, m?i hàng g?m n ph?n t? t??ng ?ng v?i hàng c?a ma tr?n.
•	Output: K?t qu? m?i testcase trên m?t hàng.
Minh h?a d? li?u testcase:
Input:
1
3 3
1 2 3
4 5 6
7 8 9
Output:
327
? Code C:
#include <stdio.h>
int main() {
    int T;
    scanf(""%d"", &T);
    while (T--) {
        int m, n;
        scanf(""%d %d"", &m, &n);
        int A[100][100]; 
        for (int i = 0; i < m; ++i)
            for (int j = 0; j < n; ++j)
                scanf(""%d"", &A[i][j]);
        for (int i = 0; i < m; ++i)
            printf(""%d"", A[i][n - 1]);
        for (int j = n - 2; j >= 0; --j)
            printf(""%d"", A[m - 1][j]);
        for (int j = 1; j < n - 1; ++j)
            printf(""%d"", A[0][j]);
        printf(""\n"");
    }
    return 0;
}
?? BÀI T?P 3
Tính di?n tích hình ch? nh?t
Yêu c?u:
1.	Vi?t ch??ng trình tính di?n tích hình ch? nh?t v?i các c?nh a, b.
2.	Ch??ng trình c?n x? lý nhi?u test case.
3.	Input:
o	Dòng ??u tiên là s? M - s? l??ng test case.
o	M dòng ti?p theo, m?i dòng ch?a hai giá tr? a, b.
4.	Output:
o	K?t qu? c?a m?i test case trên m?t dòng. N?u không tính ???c (a ho?c b âm) thì in ""MD"".
5.	Ví d?:
o	Input:
2
1 1
2 3
o	Output:
1.00
6.00
? Code C:
#include <stdio.h>

int main(void) {
    int t;
    scanf(""%d"", &t);
    while (t--) {
        float a, b;
        scanf(""%f %f"", &a, &b);
        if (a < 0 || b < 0) {
            printf(""MD\n"");
        }
        else {
            printf(""%.2f\n"", a * b);
        }
    }
    return 0;
}
"									
110	"Vi?t ch??ng trình menu (dùng switch-case) g?i các hàm th?c hi?n phép tính: c?ng, tr?, nhân, chia."	"#include <stdio.h>

void sortArray(int arr[], int n) {
    for (int i = 0; i < n - 1; i++) {
        for (int j = 0; j < n - i - 1; j++) {
            if (arr[j] > arr[j + 1]) {
                int temp = arr[j];
                arr[j] = arr[j + 1];
                arr[j + 1] = temp;
            }
        }
    }
}

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    sortArray(arr, n);
    printf(""M?ng sau s?p x?p: "");
    for (int i = 0; i < n; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");
    return 0;
}"										
111	Nh?p và in ra các ph?n t? c?a m?ng.	"#include <stdio.h>

float add(float a, float b) { return a + b; }
float subtract(float a, float b) { return a - b; }
float multiply(float a, float b) { return a * b; }
float divide(float a, float b) { return b != 0 ? a / b : 0; }

int main() {
    int choice;
    float a, b;
    printf(""Ch?n phép tính (1: C?ng, 2: Tr?, 3: Nhân, 4: Chia): "");
    scanf(""%d"", &choice);
    printf(""Nh?p hai s?: "");
    scanf(""%f %f"", &a, &b);
    switch (choice) {
        case 1: printf(""K?t qu?: %.2f\n"", add(a, b)); break;
        case 2: printf(""K?t qu?: %.2f\n"", subtract(a, b)); break;
        case 3: printf(""K?t qu?: %.2f\n"", multiply(a, b)); break;
        case 4:
            if (b != 0) {
                printf(""K?t qu?: %.2f\n"", divide(a, b));
            } else {
                printf(""Không th? chia cho 0.\n"");
            }
            break;
        default: printf(""L?a ch?n không h?p l?.\n"");
    }
    return 0;
}"										
112	Tính t?ng các ph?n t? trong m?ng.	"#include <stdio.h>

int main() {
    int n, sum = 0;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
        sum += arr[i];
    }
    printf(""T?ng: %d\n"", sum);
    return 0;
}"										
113	Tính trung bình c?ng các ph?n t? trong m?t m?ng.	"#include <stdio.h>

int main() {
    int n;
    float sum = 0;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
        sum += arr[i];
    }
    printf(""Trung bình c?ng: %.2f\n"", sum / n);
    return 0;
}"										
114	"??m s? l??ng s? ch?n, s? l? trong m?ng."	"#include <stdio.h>

int main() {
    int n, even = 0, odd = 0;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
        if (arr[i] % 2 == 0) {
            even++;
        } else {
            odd++;
        }
    }
    printf(""S? ch?n: %d\nS? l?: %d\n"", even, odd);
    return 0;
}"										
115	Tìm ph?n t? l?n nh?t và nh? nh?t trong m?ng.	"#include <stdio.h>

int main() {
    int n, even = 0, odd = 0;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
        if (arr[i] % 2 == 0) {
            even++;
        } else {
            odd++;
        }
    }
    printf(""S? ch?n: %d\nS? l?: %d\n"", even, odd);
    return 0;
}"										
116	Tính t?ng các ph?n t? ch?n trong m?ng.	"#include <stdio.h>

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    int max = arr[0], min = arr[0];
    for (int i = 1; i < n; i++) {
        if (arr[i] > max) {
            max = arr[i];
        }
        if (arr[i] < min) {
            min = arr[i];
        }
    }
    printf(""L?n nh?t: %d\nNh? nh?t: %d\n"", max, min);
    return 0;
}"										
117	Tính t?ng các ph?n t? l? trong m?ng.	"#include <stdio.h>

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    int max = arr[0], min = arr[0];
    for (int i = 1; i < n; i++) {
        if (arr[i] > max) {
            max = arr[i];
        }
        if (arr[i] < min) {
            min = arr[i];
        }
    }
    printf(""L?n nh?t: %d\nNh? nh?t: %d\n"", max, min);
    return 0;
}"										
118	Tìm ph?n t? d??ng l?n nh?t và âm nh? nh?t trong m?t m?ng.	"#include <stdio.h>
#include <limits.h>

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    int maxPositive = INT_MIN, minNegative = INT_MAX;
    for (int i = 0; i < n; i++) {
        if (arr[i] > 0 && arr[i] > maxPositive) {
            maxPositive = arr[i];
        }
        if (arr[i] < 0 && arr[i] < minNegative) {
            minNegative = arr[i];
        }
    }
    printf(""D??ng l?n nh?t: %d\nÂm nh? nh?t: %d\n"", maxPositive, minNegative);
    return 0;
}"										
119	Ki?m tra m?ng có ch?a s? 0 hay không.	"#include <stdio.h>

int main() {
    int n, hasZero = 0;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
        if (arr[i] == 0) {
            hasZero = 1;
        }
    }
    printf(hasZero ? ""M?ng có ch?a s? 0.\n"" : ""M?ng không ch?a s? 0.\n"");
    return 0;
}"										
120	??m s? ph?n t? l?n h?n giá tr? trung bình trong m?t m?ng.	"#include <stdio.h>

int main() {
    int n, count = 0;
    float sum = 0;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
        sum += arr[i];
    }
    float avg = sum / n;
    for (int i = 0; i < n; i++) {
        if (arr[i] > avg) {
            count++;
        }
    }
    printf(""S? ph?n t? l?n h?n trung bình: %d\n"", count);
    return 0;
}"										
121	??m s? l?n xu?t hi?n c?a m?t giá tr? x cho tr??c trong m?t m?ng.	"#include <stdio.h>

int main() {
    int n, x, count = 0;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    printf(""Nh?p giá tr? x: "");
    scanf(""%d"", &x);
    for (int i = 0; i < n; i++) {
        if (arr[i] == x) {
            count++;
        }
    }
    printf(""S? l?n xu?t hi?n c?a %d: %d\n"", x, count);
    return 0;
}"										
122	S?p x?p m?ng t?ng d?n s? d?ng thu?t toán n?i b?t (bubble sort).	"#include <stdio.h>

void bubbleSort(int arr[], int n) {
    for (int i = 0; i < n - 1; i++) {
        for (int j = 0; j < n - i - 1; j++) {
            if (arr[j] > arr[j + 1]) {
                int temp = arr[j];
                arr[j] = arr[j + 1];
                arr[j + 1] = temp;
            }
        }
    }
}

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    bubbleSort(arr, n);
    printf(""M?ng sau s?p x?p: "");
    for (int i = 0; i < n; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");
    return 0;
}"										
123	S?p x?p m?ng gi?m d?n s? d?ng thu?t toán s?p x?p chèn (insertion sort).	"void insertionSort(int arr[], int n) {
    for (int i = 1; i < n; i++) {
        int key = arr[i];
        int j = i - 1;
        while (j >= 0 && arr[j] < key) {
            arr[j + 1] = arr[j];
            j--;
        }
        arr[j + 1] = key;
    }
}

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    insertionSort(arr, n);
    printf(""M?ng sau s?p x?p: "");
    for (int i = 0; i < n; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");
    return 0;
}"										
124	S?p x?p m?ng gi?m d?n s? d?ng thu?t toán s?p x?p l?a ch?n (selection sort).	"#include <stdio.h>

void selectionSort(int arr[], int n) {
    for (int i = 0; i < n - 1; i++) {
        int maxIndex = i;
        for (int j = i + 1; j < n; j++) {
            if (arr[j] > arr[maxIndex]) {
                maxIndex = j;
            }
        }
        int temp = arr[i];
        arr[i] = arr[maxIndex];
        arr[maxIndex] = temp;
    }
}

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    selectionSort(arr, n);
    printf(""M?ng sau s?p x?p: "");
    for (int i = 0; i < n; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");
    return 0;
}"										
125	Tìm t?t c? các s? nguyên t? trong m?ng.	"#include <stdio.h>

int isPrime(int num) {
    if (num <= 1) return 0;
    for (int i = 2; i * i <= num; i++) {
        if (num % i == 0) return 0;
    }
    return 1;
}

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    printf(""Các s? nguyên t? trong m?ng: "");
    for (int i = 0; i < n; i++) {
        if (isPrime(arr[i])) {
            printf(""%d "", arr[i]);
        }
    }
    printf(""\n"");
    return 0;
}"										
126	Chèn ph?n t? x vào v? trí k trong m?ng.	"#include <stdio.h>

int main() {
    int n, x, k;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n + 1];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    printf(""Nh?p giá tr? x và v? trí k: "");
    scanf(""%d %d"", &x, &k);
    if (k < 0 || k > n) {
        printf(""V? trí không h?p l?.\n"");
        return 0;
    }
    for (int i = n; i > k; i--) {
        arr[i] = arr[i - 1];
    }
    arr[k] = x;
    printf(""M?ng sau khi chèn: "");
    for (int i = 0; i <= n; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");
    return 0;
}"										
127	Xóa ph?n t? có giá tr? x trong m?ng.	"#include <stdio.h>

int main() {
    int n, x, found = 0;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    printf(""Nh?p giá tr? x c?n xóa: "");
    scanf(""%d"", &x);
    int newSize = 0;
    for (int i = 0; i < n; i++) {
        if (arr[i] != x) {
            arr[newSize++] = arr[i];
        } else {
            found = 1;
        }
    }
    if (found) {
        printf(""M?ng sau khi xóa: "");
        for (int i = 0; i < newSize; i++) {
            printf(""%d "", arr[i]);
        }
        printf(""\n"");
    } else {
        printf(""Không tìm th?y %d trong m?ng.\n"", x);
    }
    return 0;
}"										
128	G?p hai m?ng thành m?t m?ng m?i.	"#include <stdio.h>

int main() {
    int n1, n2;
    printf(""Nh?p s? ph?n t? m?ng 1: "");
    scanf(""%d"", &n1);
    int arr1[n1];
    printf(""Nh?p các ph?n t? m?ng 1:\n"");
    for (int i = 0; i < n1; i++) {
        scanf(""%d"", &arr1[i]);
    }
    printf(""Nh?p s? ph?n t? m?ng 2: "");
    scanf(""%d"", &n2);
    int arr2[n2];
    printf(""Nh?p các ph?n t? m?ng 2:\n"");
    for (int i = 0; i < n2; i++) {
        scanf(""%d"", &arr2[i]);
    }
    int merged[n1 + n2];
    for (int i = 0; i < n1; i++) {
        merged[i] = arr1[i];
    }
    for (int i = 0; i < n2; i++) {
        merged[n1 + i] = arr2[i];
    }
    printf(""M?ng g?p: "");
    for (int i = 0; i < n1 + n2; i++) {
        printf(""%d "", merged[i]);
    }
    printf(""\n"");
    return 0;
}"										
129	G?p hai m?ng thành m?t m?ng m?i theo m?t tr?t t? (t?ng ho?c gi?m d?n).	"#include <stdio.h>

void sortArray(int arr[], int n) {
    for (int i = 0; i < n - 1; i++) {
        for (int j = 0; j < n - i - 1; j++) {
            if (arr[j] > arr[j + 1]) {
                int temp = arr[j];
                arr[j] = arr[j + 1];
                arr[j + 1] = temp;
            }
        }
    }
}

int main() {
    int n1, n2;
    printf(""Nh?p s? ph?n t? m?ng 1: "");
    scanf(""%d"", &n1);
    int arr1[n1];
    printf(""Nh?p các ph?n t? m?ng 1:\n"");
    for (int i = 0; i < n1; i++) {
        scanf(""%d"", &arr1[i]);
    }
    printf(""Nh?p s? ph?n t? m?ng 2: "");
    scanf(""%d"", &n2);
    int arr2[n2];
    printf(""Nh?p các ph?n t? m?ng 2:\n"");
    for (int i = 0; i < n2; i++) {
        scanf(""%d"", &arr2[i]);
    }
    sortArray(arr1, n1);
    sortArray(arr2, n2);
    int merged[n1 + n2];
    int i = 0, j = 0, k = 0;
    while (i < n1 && j < n2) {
        if (arr1[i] < arr2[j]) {
            merged[k++] = arr1[i++];
        } else {
            merged[k++] = arr2[j++];
        }
    }
    while (i < n1) {
        merged[k++] = arr1[i++];
    }
    while (j < n2) {
        merged[k++] = arr2[j++];
    }
    printf(""M?ng g?p t?ng d?n: "");
    for (int i = 0; i < n1 + n2; i++) {
        printf(""%d "", merged[i]);
    }
    printf(""\n"");
    return 0;
}"										
130	"G?p hai m?ng thành m?t m?ng m?i theo m?t tr?t t? c? m?t ph?n t? c?a m?ng này thì ??n m?t ph?n t? c?a m?ng kia, n?u không còn ph?n t? c?a m?ng kia (ho?c này) thì vi?t liên ti?p các ph?n t? còn l?i c?a m?ng còn l?i."	"#include <stdio.h>

int main() {
    int n1, n2;
    printf(""Nh?p s? ph?n t? m?ng 1: "");
    scanf(""%d"", &n1);
    int arr1[n1];
    printf(""Nh?p các ph?n t? m?ng 1:\n"");
    for (int i = 0; i < n1; i++) {
        scanf(""%d"", &arr1[i]);
    }
    printf(""Nh?p s? ph?n t? m?ng 2: "");
    scanf(""%d"", &n2);
    int arr2[n2];
    printf(""Nh?p các ph?n t? m?ng 2:\n"");
    for (int i = 0; i < n2; i++) {
        scanf(""%d"", &arr2[i]);
    }
    int merged[n1 + n2];
    int i = 0, j = 0, k = 0;
    while (i < n1 && j < n2) {
        merged[k++] = arr1[i++];
        merged[k++] = arr2[j++];
    }
    while (i < n1) {
        merged[k++] = arr1[i++];
    }
    while (j < n2) {
        merged[k++] = arr2[j++];
    }
    printf(""M?ng g?p xen k?: "");
    for (int i = 0; i < n1 + n2; i++) {
        printf(""%d "", merged[i]);
    }
    printf(""\n"");
    return 0;
}"										
131	Tách m?ng thành hai m?ng: m?ng ch?n và m?ng l?.	"#include <stdio.h>

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n], even[n], odd[n];
    int evenCount = 0, oddCount = 0;
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
        if (arr[i] % 2 == 0) {
            even[evenCount++] = arr[i];
        } else {
            odd[oddCount++] = arr[i];
        }
    }
    printf(""M?ng ch?n: "");
    for (int i = 0; i < evenCount; i++) {
        printf(""%d "", even[i]);
    }
    printf(""\nM?ng l?: "");
    for (int i = 0; i < oddCount; i++) {
        printf(""%d "", odd[i]);
    }
    printf(""\n"");
    return 0;
}"										
132	Tách m?ng thành hai m?ng: m?ng g?m các s? l?n h?n và m?ng g?m các s? nh? h?n m?t s? x	"#include <stdio.h>

int main() {
    int n, x;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n], greater[n], smaller[n];
    int greaterCount = 0, smallerCount = 0;
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    printf(""Nh?p giá tr? x: "");
    scanf(""%d"", &x);
    for (int i = 0; i < n; i++) {
        if (arr[i] > x) {
            greater[greaterCount++] = arr[i];
        } else {
            smaller[smallerCount++] = arr[i];
        }
    }
    printf(""M?ng l?n h?n x: "");
    for (int i = 0; i < greaterCount; i++) {
        printf(""%d "", greater[i]);
    }
    printf(""\nM?ng nh? h?n ho?c b?ng x: "");
    for (int i = 0; i < smallerCount; i++) {
        printf(""%d "", smaller[i]);
    }
    printf(""\n"");
    return 0;
}"										
133	??o ng??c m?ng (reverse array).	"#include <stdio.h>

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    printf(""M?ng ??o ng??c: "");
    for (int i = n - 1; i >= 0; i--) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");
    return 0;
}"										
134	Ki?m tra m?ng có t?ng d?n không.	"#include <stdio.h>

int isIncreasing(int arr[], int n) {
    for (int i = 0; i < n - 1; i++) {
        if (arr[i] > arr[i + 1]) {
            return 0;
        }
    }
    return 1;
}

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    printf(isIncreasing(arr, n) ? ""M?ng t?ng d?n.\n"" : ""M?ng không t?ng d?n.\n"");
    return 0;
}"										
135	Ki?m tra m?ng có gi?m d?n không.	"#include <stdio.h>

int isDecreasing(int arr[], int n) {
    for (int i = 0; i < n - 1; i++) {
        if (arr[i] < arr[i + 1]) {
            return 0;
        }
    }
    return 1;
}

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    printf(isDecreasing(arr, n) ? ""M?ng gi?m d?n.\n"" : ""M?ng không gi?m d?n.\n"");
    return 0;
}"										
136	Tìm dãy con t?ng dài nh?t trong m?ng. 	"#include <stdio.h>

int main() {
    int n;
    printf(""Nh?p s? ph?n t?: "");
    scanf(""%d"", &n);
    int arr[n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    int maxLength = 1, currentLength = 1, endIndex = 0;
    for (int i = 1; i < n; i++) {
        if (arr[i] > arr[i - 1]) {
            currentLength++;
            if (currentLength > maxLength) {
                maxLength = currentLength;
                endIndex = i;
            }
        } else {
            currentLength = 1;
        }
    }
    printf(""Dãy con t?ng dài nh?t: "");
    for (int i = endIndex - maxLength + 1; i <= endIndex; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");
    return 0;
}"										
137	Nh?p và in ra ma tr?n (m?ng 2 chi?u) kích th??c m x n.	"#include <stdio.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(""Ma tr?n:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            printf(""%d "", matrix[i][j]);
        }
        printf(""\n"");
    }
    return 0;
}"										
138	Tính t?ng t?t c? các ph?n t? trong ma tr?n.	"#include <stdio.h>

int main() {
    int m, n, sum = 0;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
            sum += matrix[i][j];
        }
    }
    printf(""T?ng: %d\n"", sum);
    return 0;
}"										
139	Tính t?ng các ph?n t? n?m trên dòng th? i.	"#include <stdio.h>

int main() {
    int m, n, i;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(""Nh?p dòng i: "");
    scanf(""%d"", &i);
    if (i < 0 || i >= m) {
        printf(""Dòng không h?p l?.\n"");
        return 0;
    }
    int sum = 0;
    for (int j = 0; j < n; j++) {
        sum += matrix[i][j];
    }
    printf(""T?ng dòng %d: %d\n"", i, sum);
    return 0;
}"										
140	Tính t?ng các ph?n t? n?m ? c?t th? j.	"#include <stdio.h>

int main() {
    int m, n, j;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    printf(""Nh?p c?t j: "");
    scanf(""%d"", &j);
    if (j < 0 || j >= n) {
        printf(""C?t không h?p l?.\n"");
        return 0;
    }
    int sum = 0;
    for (int i = 0; i < m; i++) {
        sum += matrix[i][j];
    }
    printf(""T?ng c?t %d: %d\n"", j, sum);
    return 0;
}"										
141	Tìm ph?n t? l?n nh?t và nh? nh?t trong ma tr?n.	"#include <stdio.h>
#include <limits.h>

int main() {
    int m, n;
    printf(""Nh?p s? hàng và s? c?t: "");
    scanf(""%d %d"", &m, &n);
    int matrix[m][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int max = INT_MIN, min = INT_MAX;
    for (int i = 0; i < m; i++) {
        for (int j = 0; j < n; j++) {
            if (matrix[i][j] > max) {
                max = matrix[i][j];
            }
            if (matrix[i][j] < min) {
                min = matrix[i][j];
            }
        }
    }
    printf(""L?n nh?t: %d\nNh? nh?t: %d\n"", max, min);
    return 0;
}"										
142	Tính t?ng các ph?n t? trên ???ng chéo chính.	"#include <stdio.h>

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[n][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int sum = 0;
    for (int i = 0; i < n; i++) {
        sum += matrix[i][i];
    }
    printf(""T?ng ???ng chéo chính: %d\n"", sum);
    return 0;
}"										
143	Tính t?ng các ph?n t? trên ???ng chéo ph?.	"#include <stdio.h>

int main() {
    int n;
    printf(""Nh?p kích th??c ma tr?n vuông: "");
    scanf(""%d"", &n);
    int matrix[n][n];
    printf(""Nh?p các ph?n t?:\n"");
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            scanf(""%d"", &matrix[i][j]);
        }
    }
    int sum = 0;
    for (int i = 0; i < n; i++) {
        sum += matrix[i][n - 1 - i];
    }
    printf(""T?ng ???ng chéo ph?: %d\n"", sum);
    return 0;
}"										
